ID,PartySubTypeID,DistinctPartyRef,PartyTypeID,PartyType
36,3,36,2,Entity
173,3,173,2,Entity
306,3,306,2,Entity
424,3,424,2,Entity
475,3,475,2,Entity
480,3,480,2,Entity
535,3,535,2,Entity
536,3,536,2,Entity
537,3,537,2,Entity
540,3,540,2,Entity
551,3,551,2,Entity
552,3,552,2,Entity
555,3,555,2,Entity
559,3,559,2,Entity
576,3,576,2,Entity
578,3,578,2,Entity
589,3,589,2,Entity
590,3,590,2,Entity
591,3,591,2,Entity
592,3,592,2,Entity
593,3,593,2,Entity
621,3,621,2,Entity
622,3,622,2,Entity
636,3,636,2,Entity
651,3,651,2,Entity
701,3,701,2,Entity
702,3,702,2,Entity
735,3,735,2,Entity
751,3,751,2,Entity
758,3,758,2,Entity
767,3,767,2,Entity
768,3,768,2,Entity
815,3,815,2,Entity
906,3,906,2,Entity
907,3,907,2,Entity
1042,3,1042,2,Entity
1043,3,1043,2,Entity
1241,3,1241,2,Entity
1287,3,1287,2,Entity
1316,3,1316,2,Entity
1555,3,1555,2,Entity
1570,3,1570,2,Entity
1571,3,1571,2,Entity
1641,3,1641,2,Entity
1660,3,1660,2,Entity
1700,3,1700,2,Entity
1701,3,1701,2,Entity
1702,3,1702,2,Entity
1888,3,1888,2,Entity
2109,3,2109,2,Entity
2110,3,2110,2,Entity
2184,3,2184,2,Entity
2186,3,2186,2,Entity
2674,4,2674,1,Individual
2675,4,2675,1,Individual
2676,4,2676,1,Individual
2677,4,2677,1,Individual
2678,4,2678,1,Individual
2679,4,2679,1,Individual
2681,4,2681,1,Individual
2682,4,2682,1,Individual
2683,4,2683,1,Individual
2685,4,2685,1,Individual
2686,4,2686,1,Individual
2690,4,2690,1,Individual
2691,4,2691,1,Individual
3748,3,3748,2,Entity
3749,3,3749,2,Entity
3750,3,3750,2,Entity
3751,3,3751,2,Entity
3754,4,3754,1,Individual
4107,4,4107,1,Individual
4108,4,4108,1,Individual
4238,1,4238,4,Transport
4243,1,4243,4,Transport
4249,1,4249,4,Transport
4257,4,4257,1,Individual
4632,3,4632,2,Entity
4633,3,4633,2,Entity
4635,3,4635,2,Entity
4639,3,4639,2,Entity
4642,3,4642,2,Entity
4688,3,4688,2,Entity
4690,3,4690,2,Entity
4691,3,4691,2,Entity
4693,3,4693,2,Entity
4694,3,4694,2,Entity
4695,3,4695,2,Entity
4696,3,4696,2,Entity
4697,3,4697,2,Entity
4700,3,4700,2,Entity
4702,3,4702,2,Entity
4703,3,4703,2,Entity
4706,3,4706,2,Entity
4707,3,4707,2,Entity
4708,3,4708,2,Entity
4709,3,4709,2,Entity
4710,3,4710,2,Entity
4713,3,4713,2,Entity
4714,3,4714,2,Entity
4715,3,4715,2,Entity
4717,3,4717,2,Entity
6365,4,6365,1,Individual
6366,3,6366,2,Entity
6367,4,6367,1,Individual
6368,4,6368,1,Individual
6531,3,6531,2,Entity
6539,3,6539,2,Entity
6550,3,6550,2,Entity
6635,4,6635,1,Individual
6636,3,6636,2,Entity
6663,3,6663,2,Entity
6680,3,6680,2,Entity
6703,4,6703,1,Individual
6704,4,6704,1,Individual
6706,4,6706,1,Individual
6707,4,6707,1,Individual
6708,4,6708,1,Individual
6709,4,6709,1,Individual
6710,4,6710,1,Individual
6712,4,6712,1,Individual
6713,4,6713,1,Individual
6714,4,6714,1,Individual
6715,4,6715,1,Individual
6717,4,6717,1,Individual
6718,4,6718,1,Individual
6719,3,6719,2,Entity
6720,3,6720,2,Entity
6721,3,6721,2,Entity
6722,3,6722,2,Entity
6723,3,6723,2,Entity
6724,4,6724,1,Individual
6725,3,6725,2,Entity
6726,3,6726,2,Entity
6823,4,6823,1,Individual
6824,3,6824,2,Entity
6826,3,6826,2,Entity
6831,4,6831,1,Individual
6832,4,6832,1,Individual
6853,3,6853,2,Entity
6856,4,6856,1,Individual
6857,4,6857,1,Individual
6858,4,6858,1,Individual
6859,4,6859,1,Individual
6860,4,6860,1,Individual
6861,4,6861,1,Individual
6862,4,6862,1,Individual
6863,4,6863,1,Individual
6864,4,6864,1,Individual
6865,4,6865,1,Individual
6866,4,6866,1,Individual
6895,3,6895,2,Entity
6896,3,6896,2,Entity
6897,3,6897,2,Entity
6898,3,6898,2,Entity
6899,3,6899,2,Entity
6900,3,6900,2,Entity
6901,4,6901,1,Individual
6903,4,6903,1,Individual
6905,4,6905,1,Individual
6906,4,6906,1,Individual
6907,4,6907,1,Individual
6908,4,6908,1,Individual
6910,3,6910,2,Entity
6911,3,6911,2,Entity
6912,3,6912,2,Entity
6913,3,6913,2,Entity
6915,4,6915,1,Individual
6916,4,6916,1,Individual
6918,4,6918,1,Individual
6919,4,6919,1,Individual
6920,4,6920,1,Individual
6921,4,6921,1,Individual
6923,4,6923,1,Individual
6924,4,6924,1,Individual
6925,4,6925,1,Individual
6926,4,6926,1,Individual
6927,4,6927,1,Individual
6928,4,6928,1,Individual
6931,4,6931,1,Individual
6932,3,6932,2,Entity
6935,3,6935,2,Entity
6936,3,6936,2,Entity
6937,3,6937,2,Entity
6938,4,6938,1,Individual
6939,4,6939,1,Individual
6940,4,6940,1,Individual
6941,4,6941,1,Individual
6944,4,6944,1,Individual
6945,4,6945,1,Individual
6946,4,6946,1,Individual
6947,4,6947,1,Individual
6948,4,6948,1,Individual
6950,4,6950,1,Individual
7006,4,7006,1,Individual
7114,3,7114,2,Entity
7115,3,7115,2,Entity
7116,3,7116,2,Entity
7132,3,7132,2,Entity
7133,4,7133,1,Individual
7135,4,7135,1,Individual
7138,4,7138,1,Individual
7140,3,7140,2,Entity
7141,3,7141,2,Entity
7142,3,7142,2,Entity
7143,3,7143,2,Entity
7144,3,7144,2,Entity
7145,3,7145,2,Entity
7146,3,7146,2,Entity
7148,4,7148,1,Individual
7149,3,7149,2,Entity
7150,4,7150,1,Individual
7151,3,7151,2,Entity
7152,3,7152,2,Entity
7153,3,7153,2,Entity
7154,3,7154,2,Entity
7156,3,7156,2,Entity
7157,3,7157,2,Entity
7158,3,7158,2,Entity
7160,3,7160,2,Entity
7161,3,7161,2,Entity
7162,3,7162,2,Entity
7163,4,7163,1,Individual
7164,4,7164,1,Individual
7166,4,7166,1,Individual
7167,4,7167,1,Individual
7169,4,7169,1,Individual
7170,4,7170,1,Individual
7172,4,7172,1,Individual
7173,4,7173,1,Individual
7174,4,7174,1,Individual
7176,4,7176,1,Individual
7177,4,7177,1,Individual
7178,4,7178,1,Individual
7179,4,7179,1,Individual
7180,4,7180,1,Individual
7181,4,7181,1,Individual
7182,4,7182,1,Individual
7183,4,7183,1,Individual
7184,4,7184,1,Individual
7185,4,7185,1,Individual
7186,4,7186,1,Individual
7187,4,7187,1,Individual
7188,4,7188,1,Individual
7189,4,7189,1,Individual
7190,4,7190,1,Individual
7191,4,7191,1,Individual
7192,4,7192,1,Individual
7193,4,7193,1,Individual
7194,4,7194,1,Individual
7195,4,7195,1,Individual
7196,4,7196,1,Individual
7197,4,7197,1,Individual
7198,4,7198,1,Individual
7199,3,7199,2,Entity
7200,3,7200,2,Entity
7201,3,7201,2,Entity
7203,4,7203,1,Individual
7204,4,7204,1,Individual
7205,4,7205,1,Individual
7207,4,7207,1,Individual
7208,4,7208,1,Individual
7209,4,7209,1,Individual
7210,4,7210,1,Individual
7211,4,7211,1,Individual
7212,4,7212,1,Individual
7213,4,7213,1,Individual
7214,4,7214,1,Individual
7215,4,7215,1,Individual
7216,4,7216,1,Individual
7217,4,7217,1,Individual
7219,3,7219,2,Entity
7220,4,7220,1,Individual
7221,4,7221,1,Individual
7222,4,7222,1,Individual
7223,4,7223,1,Individual
7224,4,7224,1,Individual
7226,4,7226,1,Individual
7227,3,7227,2,Entity
7228,3,7228,2,Entity
7234,3,7234,2,Entity
7235,4,7235,1,Individual
7251,4,7251,1,Individual
7252,4,7252,1,Individual
7253,4,7253,1,Individual
7254,4,7254,1,Individual
7255,4,7255,1,Individual
7256,4,7256,1,Individual
7257,4,7257,1,Individual
7258,4,7258,1,Individual
7259,4,7259,1,Individual
7260,4,7260,1,Individual
7261,4,7261,1,Individual
7262,3,7262,2,Entity
7263,4,7263,1,Individual
7264,4,7264,1,Individual
7265,4,7265,1,Individual
7266,4,7266,1,Individual
7267,4,7267,1,Individual
7268,3,7268,2,Entity
7269,3,7269,2,Entity
7270,3,7270,2,Entity
7280,3,7280,2,Entity
7281,4,7281,1,Individual
7282,4,7282,1,Individual
7283,3,7283,2,Entity
7284,3,7284,2,Entity
7285,3,7285,2,Entity
7286,3,7286,2,Entity
7287,3,7287,2,Entity
7288,3,7288,2,Entity
7289,3,7289,2,Entity
7290,3,7290,2,Entity
7291,3,7291,2,Entity
7292,3,7292,2,Entity
7293,3,7293,2,Entity
7294,3,7294,2,Entity
7295,3,7295,2,Entity
7302,4,7302,1,Individual
7303,4,7303,1,Individual
7304,4,7304,1,Individual
7308,4,7308,1,Individual
7311,4,7311,1,Individual
7313,4,7313,1,Individual
7314,4,7314,1,Individual
7316,4,7316,1,Individual
7317,4,7317,1,Individual
7318,4,7318,1,Individual
7319,4,7319,1,Individual
7320,4,7320,1,Individual
7321,3,7321,2,Entity
7322,3,7322,2,Entity
7323,3,7323,2,Entity
7324,3,7324,2,Entity
7325,3,7325,2,Entity
7326,4,7326,1,Individual
7328,4,7328,1,Individual
7329,4,7329,1,Individual
7330,3,7330,2,Entity
7331,3,7331,2,Entity
7471,4,7471,1,Individual
7472,3,7472,2,Entity
7473,3,7473,2,Entity
7474,3,7474,2,Entity
7475,3,7475,2,Entity
7489,4,7489,1,Individual
7513,4,7513,1,Individual
7522,4,7522,1,Individual
7574,4,7574,1,Individual
7576,3,7576,2,Entity
7579,3,7579,2,Entity
7580,3,7580,2,Entity
7581,3,7581,2,Entity
7583,3,7583,2,Entity
7584,3,7584,2,Entity
7585,3,7585,2,Entity
7589,3,7589,2,Entity
7590,3,7590,2,Entity
7593,3,7593,2,Entity
7595,3,7595,2,Entity
7598,3,7598,2,Entity
7600,3,7600,2,Entity
7618,4,7618,1,Individual
7631,3,7631,2,Entity
7637,3,7637,2,Entity
7638,3,7638,2,Entity
7639,3,7639,2,Entity
7640,3,7640,2,Entity
7641,3,7641,2,Entity
7642,3,7642,2,Entity
7643,3,7643,2,Entity
7644,3,7644,2,Entity
7645,3,7645,2,Entity
7647,4,7647,1,Individual
7648,4,7648,1,Individual
7649,3,7649,2,Entity
7650,4,7650,1,Individual
7651,3,7651,2,Entity
7653,4,7653,1,Individual
7655,4,7655,1,Individual
7656,4,7656,1,Individual
7657,4,7657,1,Individual
7658,3,7658,2,Entity
7659,4,7659,1,Individual
7660,4,7660,1,Individual
7661,4,7661,1,Individual
7662,4,7662,1,Individual
7664,4,7664,1,Individual
7665,4,7665,1,Individual
7666,4,7666,1,Individual
7668,4,7668,1,Individual
7669,4,7669,1,Individual
7670,4,7670,1,Individual
7671,3,7671,2,Entity
7672,4,7672,1,Individual
7673,4,7673,1,Individual
7674,4,7674,1,Individual
7677,4,7677,1,Individual
7678,4,7678,1,Individual
7679,3,7679,2,Entity
7680,4,7680,1,Individual
7681,4,7681,1,Individual
7682,4,7682,1,Individual
7683,4,7683,1,Individual
7686,4,7686,1,Individual
7687,4,7687,1,Individual
7688,4,7688,1,Individual
7689,4,7689,1,Individual
7691,4,7691,1,Individual
7692,4,7692,1,Individual
7693,4,7693,1,Individual
7695,4,7695,1,Individual
7696,4,7696,1,Individual
7697,4,7697,1,Individual
7698,4,7698,1,Individual
7699,4,7699,1,Individual
7700,4,7700,1,Individual
7701,4,7701,1,Individual
7704,4,7704,1,Individual
7705,4,7705,1,Individual
7706,4,7706,1,Individual
7707,4,7707,1,Individual
7708,4,7708,1,Individual
7709,4,7709,1,Individual
7710,4,7710,1,Individual
7712,4,7712,1,Individual
7713,4,7713,1,Individual
7714,4,7714,1,Individual
7715,4,7715,1,Individual
7716,4,7716,1,Individual
7717,4,7717,1,Individual
7718,4,7718,1,Individual
7720,3,7720,2,Entity
7721,4,7721,1,Individual
7723,4,7723,1,Individual
7724,4,7724,1,Individual
7725,4,7725,1,Individual
7726,4,7726,1,Individual
7727,4,7727,1,Individual
7728,3,7728,2,Entity
7729,4,7729,1,Individual
7731,4,7731,1,Individual
7732,4,7732,1,Individual
7733,4,7733,1,Individual
7734,4,7734,1,Individual
7735,4,7735,1,Individual
7736,4,7736,1,Individual
7737,4,7737,1,Individual
7738,4,7738,1,Individual
7739,4,7739,1,Individual
7740,4,7740,1,Individual
7741,4,7741,1,Individual
7742,4,7742,1,Individual
7743,4,7743,1,Individual
7744,4,7744,1,Individual
7745,4,7745,1,Individual
7746,4,7746,1,Individual
7749,4,7749,1,Individual
7751,4,7751,1,Individual
7752,4,7752,1,Individual
7753,4,7753,1,Individual
7754,3,7754,2,Entity
7755,3,7755,2,Entity
7756,3,7756,2,Entity
7757,4,7757,1,Individual
7760,4,7760,1,Individual
7761,4,7761,1,Individual
7762,4,7762,1,Individual
7765,4,7765,1,Individual
7766,4,7766,1,Individual
7767,4,7767,1,Individual
7768,4,7768,1,Individual
7769,3,7769,2,Entity
7770,4,7770,1,Individual
7771,3,7771,2,Entity
7772,4,7772,1,Individual
7774,3,7774,2,Entity
7775,4,7775,1,Individual
7776,4,7776,1,Individual
7777,4,7777,1,Individual
7778,4,7778,1,Individual
7779,4,7779,1,Individual
7780,4,7780,1,Individual
7782,4,7782,1,Individual
7783,4,7783,1,Individual
7784,4,7784,1,Individual
7785,4,7785,1,Individual
7786,4,7786,1,Individual
7787,4,7787,1,Individual
7788,4,7788,1,Individual
7789,4,7789,1,Individual
7790,4,7790,1,Individual
7791,4,7791,1,Individual
7792,4,7792,1,Individual
7793,4,7793,1,Individual
7794,4,7794,1,Individual
7795,4,7795,1,Individual
7796,4,7796,1,Individual
7797,4,7797,1,Individual
7798,4,7798,1,Individual
7800,4,7800,1,Individual
7801,4,7801,1,Individual
7802,4,7802,1,Individual
7803,4,7803,1,Individual
7804,4,7804,1,Individual
7807,4,7807,1,Individual
7808,4,7808,1,Individual
7809,4,7809,1,Individual
7810,4,7810,1,Individual
7811,4,7811,1,Individual
7812,4,7812,1,Individual
7813,4,7813,1,Individual
7814,4,7814,1,Individual
7815,4,7815,1,Individual
7817,4,7817,1,Individual
7818,4,7818,1,Individual
7819,4,7819,1,Individual
7820,4,7820,1,Individual
7821,4,7821,1,Individual
7822,4,7822,1,Individual
7825,3,7825,2,Entity
7826,4,7826,1,Individual
7827,4,7827,1,Individual
7828,4,7828,1,Individual
7829,4,7829,1,Individual
7830,4,7830,1,Individual
7831,4,7831,1,Individual
7832,4,7832,1,Individual
7833,4,7833,1,Individual
7834,4,7834,1,Individual
7835,4,7835,1,Individual
7836,4,7836,1,Individual
7837,4,7837,1,Individual
7838,4,7838,1,Individual
7839,4,7839,1,Individual
7840,4,7840,1,Individual
7841,4,7841,1,Individual
7842,4,7842,1,Individual
7843,4,7843,1,Individual
7844,4,7844,1,Individual
7845,4,7845,1,Individual
7846,4,7846,1,Individual
7847,4,7847,1,Individual
7848,4,7848,1,Individual
7849,4,7849,1,Individual
7850,4,7850,1,Individual
7851,4,7851,1,Individual
7852,4,7852,1,Individual
7853,4,7853,1,Individual
7854,4,7854,1,Individual
7855,4,7855,1,Individual
7856,4,7856,1,Individual
7857,4,7857,1,Individual
7858,4,7858,1,Individual
7859,4,7859,1,Individual
7860,4,7860,1,Individual
7861,4,7861,1,Individual
7862,4,7862,1,Individual
7863,4,7863,1,Individual
7864,4,7864,1,Individual
7865,4,7865,1,Individual
7866,4,7866,1,Individual
7867,4,7867,1,Individual
7868,4,7868,1,Individual
7869,4,7869,1,Individual
7870,4,7870,1,Individual
7871,4,7871,1,Individual
7872,4,7872,1,Individual
7873,4,7873,1,Individual
7874,4,7874,1,Individual
7875,4,7875,1,Individual
7876,4,7876,1,Individual
7877,4,7877,1,Individual
7878,4,7878,1,Individual
7879,4,7879,1,Individual
7880,4,7880,1,Individual
7881,4,7881,1,Individual
7882,4,7882,1,Individual
7883,4,7883,1,Individual
7884,4,7884,1,Individual
7885,4,7885,1,Individual
7886,4,7886,1,Individual
7887,4,7887,1,Individual
7888,4,7888,1,Individual
7889,4,7889,1,Individual
7890,4,7890,1,Individual
7891,4,7891,1,Individual
7892,4,7892,1,Individual
7893,4,7893,1,Individual
7894,4,7894,1,Individual
7895,4,7895,1,Individual
7896,4,7896,1,Individual
7897,4,7897,1,Individual
7898,4,7898,1,Individual
7899,4,7899,1,Individual
7911,3,7911,2,Entity
7912,4,7912,1,Individual
7913,4,7913,1,Individual
7914,4,7914,1,Individual
7915,4,7915,1,Individual
7916,3,7916,2,Entity
7917,3,7917,2,Entity
7918,3,7918,2,Entity
7919,3,7919,2,Entity
7921,4,7921,1,Individual
7923,4,7923,1,Individual
7924,4,7924,1,Individual
7925,4,7925,1,Individual
7927,4,7927,1,Individual
7928,4,7928,1,Individual
7929,4,7929,1,Individual
7932,4,7932,1,Individual
7933,4,7933,1,Individual
7934,4,7934,1,Individual
7935,4,7935,1,Individual
7936,4,7936,1,Individual
7938,4,7938,1,Individual
7939,4,7939,1,Individual
7940,4,7940,1,Individual
7942,4,7942,1,Individual
7944,4,7944,1,Individual
7945,4,7945,1,Individual
7946,3,7946,2,Entity
8083,3,8083,2,Entity
8084,4,8084,1,Individual
8085,3,8085,2,Entity
8086,4,8086,1,Individual
8087,4,8087,1,Individual
8090,4,8090,1,Individual
8091,4,8091,1,Individual
8092,4,8092,1,Individual
8093,4,8093,1,Individual
8094,4,8094,1,Individual
8095,4,8095,1,Individual
8096,4,8096,1,Individual
8098,4,8098,1,Individual
8099,4,8099,1,Individual
8100,4,8100,1,Individual
8101,4,8101,1,Individual
8102,4,8102,1,Individual
8103,4,8103,1,Individual
8104,4,8104,1,Individual
8105,4,8105,1,Individual
8106,4,8106,1,Individual
8107,3,8107,2,Entity
8108,3,8108,2,Entity
8109,3,8109,2,Entity
8110,3,8110,2,Entity
8111,4,8111,1,Individual
8112,4,8112,1,Individual
8113,4,8113,1,Individual
8114,4,8114,1,Individual
8115,4,8115,1,Individual
8116,4,8116,1,Individual
8117,4,8117,1,Individual
8118,4,8118,1,Individual
8119,4,8119,1,Individual
8120,4,8120,1,Individual
8122,4,8122,1,Individual
8123,4,8123,1,Individual
8124,3,8124,2,Entity
8125,3,8125,2,Entity
8126,3,8126,2,Entity
8127,3,8127,2,Entity
8128,3,8128,2,Entity
8129,3,8129,2,Entity
8131,3,8131,2,Entity
8132,3,8132,2,Entity
8133,3,8133,2,Entity
8134,3,8134,2,Entity
8138,4,8138,1,Individual
8139,4,8139,1,Individual
8140,4,8140,1,Individual
8144,4,8144,1,Individual
8147,4,8147,1,Individual
8149,4,8149,1,Individual
8150,4,8150,1,Individual
8151,4,8151,1,Individual
8153,4,8153,1,Individual
8154,4,8154,1,Individual
8155,4,8155,1,Individual
8156,4,8156,1,Individual
8158,4,8158,1,Individual
8159,4,8159,1,Individual
8163,4,8163,1,Individual
8175,4,8175,1,Individual
8183,4,8183,1,Individual
8184,4,8184,1,Individual
8185,4,8185,1,Individual
8186,4,8186,1,Individual
8187,4,8187,1,Individual
8188,4,8188,1,Individual
8189,4,8189,1,Individual
8190,4,8190,1,Individual
8191,4,8191,1,Individual
8192,4,8192,1,Individual
8193,4,8193,1,Individual
8194,4,8194,1,Individual
8195,4,8195,1,Individual
8196,4,8196,1,Individual
8197,4,8197,1,Individual
8198,4,8198,1,Individual
8199,3,8199,2,Entity
8200,4,8200,1,Individual
8202,4,8202,1,Individual
8203,4,8203,1,Individual
8204,4,8204,1,Individual
8205,4,8205,1,Individual
8207,4,8207,1,Individual
8208,4,8208,1,Individual
8209,4,8209,1,Individual
8210,3,8210,2,Entity
8211,3,8211,2,Entity
8212,3,8212,2,Entity
8213,3,8213,2,Entity
8214,3,8214,2,Entity
8215,4,8215,1,Individual
8216,4,8216,1,Individual
8217,4,8217,1,Individual
8218,4,8218,1,Individual
8219,4,8219,1,Individual
8220,4,8220,1,Individual
8221,4,8221,1,Individual
8222,4,8222,1,Individual
8223,3,8223,2,Entity
8224,3,8224,2,Entity
8225,3,8225,2,Entity
8227,4,8227,1,Individual
8228,4,8228,1,Individual
8230,4,8230,1,Individual
8231,4,8231,1,Individual
8234,4,8234,1,Individual
8235,4,8235,1,Individual
8236,3,8236,2,Entity
8237,3,8237,2,Entity
8239,4,8239,1,Individual
8240,4,8240,1,Individual
8241,4,8241,1,Individual
8242,4,8242,1,Individual
8243,4,8243,1,Individual
8244,3,8244,2,Entity
8245,3,8245,2,Entity
8247,3,8247,2,Entity
8248,4,8248,1,Individual
8250,3,8250,2,Entity
8251,4,8251,1,Individual
8252,4,8252,1,Individual
8253,4,8253,1,Individual
8254,3,8254,2,Entity
8255,3,8255,2,Entity
8256,3,8256,2,Entity
8258,3,8258,2,Entity
8259,3,8259,2,Entity
8260,3,8260,2,Entity
8261,3,8261,2,Entity
8262,3,8262,2,Entity
8263,4,8263,1,Individual
8264,4,8264,1,Individual
8265,4,8265,1,Individual
8266,3,8266,2,Entity
8267,3,8267,2,Entity
8269,4,8269,1,Individual
8271,4,8271,1,Individual
8272,4,8272,1,Individual
8273,4,8273,1,Individual
8275,4,8275,1,Individual
8276,4,8276,1,Individual
8277,4,8277,1,Individual
8279,4,8279,1,Individual
8294,4,8294,1,Individual
8306,3,8306,2,Entity
8307,4,8307,1,Individual
8309,3,8309,2,Entity
8310,3,8310,2,Entity
8311,4,8311,1,Individual
8312,4,8312,1,Individual
8313,4,8313,1,Individual
8314,3,8314,2,Entity
8315,4,8315,1,Individual
8316,4,8316,1,Individual
8317,4,8317,1,Individual
8318,4,8318,1,Individual
8319,4,8319,1,Individual
8320,4,8320,1,Individual
8323,4,8323,1,Individual
8326,4,8326,1,Individual
8327,4,8327,1,Individual
8329,4,8329,1,Individual
8330,4,8330,1,Individual
8331,4,8331,1,Individual
8332,4,8332,1,Individual
8333,4,8333,1,Individual
8334,4,8334,1,Individual
8335,4,8335,1,Individual
8336,4,8336,1,Individual
8337,4,8337,1,Individual
8339,4,8339,1,Individual
8340,3,8340,2,Entity
8341,3,8341,2,Entity
8342,3,8342,2,Entity
8345,3,8345,2,Entity
8346,3,8346,2,Entity
8347,3,8347,2,Entity
8348,4,8348,1,Individual
8349,4,8349,1,Individual
8350,4,8350,1,Individual
8351,3,8351,2,Entity
8352,3,8352,2,Entity
8354,3,8354,2,Entity
8357,4,8357,1,Individual
8359,3,8359,2,Entity
8360,3,8360,2,Entity
8364,3,8364,2,Entity
8365,4,8365,1,Individual
8366,3,8366,2,Entity
8367,4,8367,1,Individual
8368,3,8368,2,Entity
8369,4,8369,1,Individual
8370,3,8370,2,Entity
8371,3,8371,2,Entity
8372,3,8372,2,Entity
8373,3,8373,2,Entity
8374,3,8374,2,Entity
8375,3,8375,2,Entity
8376,3,8376,2,Entity
8377,3,8377,2,Entity
8378,4,8378,1,Individual
8379,4,8379,1,Individual
8380,4,8380,1,Individual
8382,4,8382,1,Individual
8383,3,8383,2,Entity
8384,4,8384,1,Individual
8385,4,8385,1,Individual
8387,3,8387,2,Entity
8388,4,8388,1,Individual
8389,4,8389,1,Individual
8390,4,8390,1,Individual
8392,4,8392,1,Individual
8393,3,8393,2,Entity
8394,3,8394,2,Entity
8395,3,8395,2,Entity
8396,3,8396,2,Entity
8397,3,8397,2,Entity
8399,4,8399,1,Individual
8401,4,8401,1,Individual
8403,3,8403,2,Entity
8404,3,8404,2,Entity
8405,3,8405,2,Entity
8406,4,8406,1,Individual
8407,3,8407,2,Entity
8408,3,8408,2,Entity
8409,3,8409,2,Entity
8411,3,8411,2,Entity
8412,3,8412,2,Entity
8413,4,8413,1,Individual
8414,4,8414,1,Individual
8415,3,8415,2,Entity
8416,3,8416,2,Entity
8418,4,8418,1,Individual
8419,4,8419,1,Individual
8420,3,8420,2,Entity
8422,3,8422,2,Entity
8591,4,8591,1,Individual
8592,3,8592,2,Entity
8593,3,8593,2,Entity
8594,4,8594,1,Individual
8595,4,8595,1,Individual
8596,4,8596,1,Individual
8597,4,8597,1,Individual
8598,4,8598,1,Individual
8599,4,8599,1,Individual
8600,4,8600,1,Individual
8730,3,8730,2,Entity
8731,3,8731,2,Entity
8732,3,8732,2,Entity
8733,3,8733,2,Entity
8734,3,8734,2,Entity
8735,3,8735,2,Entity
8736,3,8736,2,Entity
8737,3,8737,2,Entity
8738,3,8738,2,Entity
8739,3,8739,2,Entity
8740,3,8740,2,Entity
8741,3,8741,2,Entity
8742,3,8742,2,Entity
8743,3,8743,2,Entity
8744,3,8744,2,Entity
8745,4,8745,1,Individual
8746,4,8746,1,Individual
8750,4,8750,1,Individual
8759,3,8759,2,Entity
8761,3,8761,2,Entity
8800,4,8800,1,Individual
8801,4,8801,1,Individual
8802,4,8802,1,Individual
8803,4,8803,1,Individual
8804,4,8804,1,Individual
8805,4,8805,1,Individual
8807,4,8807,1,Individual
8808,4,8808,1,Individual
8809,4,8809,1,Individual
8811,3,8811,2,Entity
8812,3,8812,2,Entity
8813,3,8813,2,Entity
8815,4,8815,1,Individual
8816,4,8816,1,Individual
8818,4,8818,1,Individual
8819,4,8819,1,Individual
8859,3,8859,2,Entity
8860,4,8860,1,Individual
8863,3,8863,2,Entity
8864,3,8864,2,Entity
8865,3,8865,2,Entity
8866,3,8866,2,Entity
8867,4,8867,1,Individual
8868,4,8868,1,Individual
8881,4,8881,1,Individual
8882,3,8882,2,Entity
8883,4,8883,1,Individual
8884,4,8884,1,Individual
8885,4,8885,1,Individual
8886,4,8886,1,Individual
9329,4,9329,1,Individual
9330,4,9330,1,Individual
9331,4,9331,1,Individual
9332,4,9332,1,Individual
9333,3,9333,2,Entity
9334,3,9334,2,Entity
9335,4,9335,1,Individual
9337,3,9337,2,Entity
9338,4,9338,1,Individual
9339,4,9339,1,Individual
9340,4,9340,1,Individual
9341,4,9341,1,Individual
9342,4,9342,1,Individual
9343,4,9343,1,Individual
9344,4,9344,1,Individual
9345,3,9345,2,Entity
9346,3,9346,2,Entity
9347,3,9347,2,Entity
9348,3,9348,2,Entity
9349,3,9349,2,Entity
9350,3,9350,2,Entity
9352,3,9352,2,Entity
9353,4,9353,1,Individual
9354,4,9354,1,Individual
9356,4,9356,1,Individual
9357,4,9357,1,Individual
9358,4,9358,1,Individual
9385,3,9385,2,Entity
9386,3,9386,2,Entity
9387,3,9387,2,Entity
9388,4,9388,1,Individual
9390,4,9390,1,Individual
9391,4,9391,1,Individual
9392,4,9392,1,Individual
9393,4,9393,1,Individual
9394,4,9394,1,Individual
9395,4,9395,1,Individual
9396,4,9396,1,Individual
9397,4,9397,1,Individual
9398,4,9398,1,Individual
9399,4,9399,1,Individual
9400,3,9400,2,Entity
9401,3,9401,2,Entity
9402,3,9402,2,Entity
9403,3,9403,2,Entity
9404,3,9404,2,Entity
9405,3,9405,2,Entity
9406,3,9406,2,Entity
9407,3,9407,2,Entity
9408,3,9408,2,Entity
9410,4,9410,1,Individual
9411,4,9411,1,Individual
9412,4,9412,1,Individual
9414,4,9414,1,Individual
9415,4,9415,1,Individual
9443,4,9443,1,Individual
9451,4,9451,1,Individual
9480,4,9480,1,Individual
9483,4,9483,1,Individual
9484,4,9484,1,Individual
9485,4,9485,1,Individual
9486,4,9486,1,Individual
9519,3,9519,2,Entity
9520,3,9520,2,Entity
9521,3,9521,2,Entity
9523,3,9523,2,Entity
9524,3,9524,2,Entity
9525,3,9525,2,Entity
9526,3,9526,2,Entity
9527,3,9527,2,Entity
9528,4,9528,1,Individual
9529,4,9529,1,Individual
9530,4,9530,1,Individual
9531,4,9531,1,Individual
9532,4,9532,1,Individual
9533,4,9533,1,Individual
9534,4,9534,1,Individual
9535,4,9535,1,Individual
9536,4,9536,1,Individual
9537,4,9537,1,Individual
